"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001811","영천초등학교","02","공립","N","","5","1700000","0","0","0","0","5","1700000","0","49860","7500","3298810","3356170"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001812","오봉초등학교","02","공립","N","","5","3200000","0","0","0","0","5","3200000","0","0","0","3200000","3200000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001813","용연초등학교","02","공립","N","","13","2700000","0","0","0","0","13","2700000","0","0","0","3000000","3000000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001814","웅상초등학교","02","공립","N","","5","4350000","0","0","0","0","5","4350000","0","2000000","0","2350000","4350000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001815","원동초등학교","02","공립","N","","7","3800000","0","0","0","0","7","3800000","0","0","0","3800000","3800000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001817","원동초등학교이천분교장","02","공립","Y","본교에서 통합 공시","","","","","","","","","","","","",""
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001818","좌삼초등학교","02","공립","N","","26","4500000","0","0","0","0","26","4500000","0","0","3835000","2700000","6535000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001819","중부초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001820","천성초등학교","02","공립","N","","19","10180000","0","0","0","0","19","10180000","0","0","0","6600000","6600000"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001821","평산초등학교","02","공립","N","","8","2820000","0","0","0","0","8","2820000","0","2304150","0","700000","3004150"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001822","하북초등학교","02","공립","N","","29","7600000","0","0","0","0","29","7600000","4765590","0","0","9956000","14721590"
"경상남도교육청","양산교육지원청","경상남도 양산시","S160001823","화제초등학교","02","공립","N","","10","12300000","0","0","0","0","10","12300000","0","0","0","12300000","12300000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001856","가례초등학교","02","공립","N","","5","1050000","0","0","0","0","5","1050000","0","0","0","900000","900000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001859","남산초등학교궁류분교장","02","공립","N","","6","6100000","0","0","0","0","6","6100000","0","0","0","7000000","7000000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001861","낙서초등학교","02","공립","N","","6","950000","0","0","0","0","6","950000","0","0","0","1050000","1050000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001863","남산초등학교","02","공립","N","","4","1100000","0","0","0","0","4","1100000","0","0","0","3715000","3715000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001865","대의초등학교","02","공립","N","","13","9000000","0","0","0","0","13","9000000","0","0","0","10600000","10600000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001875","부림초등학교봉수분교장","02","공립","Y","본교 취합으로 인한 제외 처리","","","","","","","","","","","","",""
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001877","부림초등학교","02","공립","N","","10","3700000","0","0","0","0","10","3700000","0","0","0","5100000","5100000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001885","용덕초등학교","02","공립","N","","11","5050000","0","0","0","0","11","5050000","0","1994710","0","2400000","4394710"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001888","유곡초등학교","02","공립","N","","6","1501050","0","0","0","0","6","1501050","0","0","0","600000","600000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001890","의령초등학교","02","공립","N","","10","3100000","0","0","0","0","10","3100000","0","0","7090000","3100000","10190000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001893","정곡초등학교","02","공립","N","","10","26465780","0","0","0","0","10","26465780","0","5000000","10000000","13850000","28850000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001900","지정초등학교","02","공립","N","","7","2000000","1","4200000","0","0","8","6200000","0","0","0","1600000","1600000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001903","칠곡초등학교","02","공립","N","","8","7500000","0","0","0","0","8","7500000","0","0","0","1600000","1600000"
"경상남도교육청","의령교육지원청","경상남도 의령군","S160001907","화정초등학교","02","공립","N","","11","1500000","0","0","0","0","11","1500000","1769500","0","2370000","1500000","5639500"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001961","가람초등학교","02","공립","N","","4","17000000","1","300000","0","0","5","17300000","10000000","5000000","0","2000000","17000000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001967","관봉초등학교","02","공립","N","","11","1600000","0","0","0","0","11","1600000","0","0","1000000","1598400","2598400"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001968","금곡초등학교","02","공립","N","","2","1400000","2","1056000","0","0","4","2456000","0","0","0","1400000","1400000"
"경상남도교육청","진주교육지원청","경상남도 진주시","S160001970","금산초등학교","02","공립","N","","6","3100000","0","0","0","0","6","3100000","0","0","0","3810000","3810000"
